latitude,longitude,population
31.22222,121.45806,22315474
-34.61315,-58.37723,13076300
19.07283,72.88261,12691836
19.42847,-99.12766,12294193
39.9075,116.39723,11716620
24.9056,67.0822,11624219
41.01384,28.94966,11174257
39.14222,117.17667,11090314
23.11667,113.25,11071424
28.65381,77.22897,10927986
14.6042,120.9822,10444527
55.75222,37.61556,10381222
22.54554,114.0683,10358381
23.7104,90.40744,10356500
37.566,126.9784,10349312
-23.5475,-46.63611,10021295
30.58333,114.26667,9785388
6.45407,3.39467,9000000
-6.21462,106.84513,8540121
35.6895,139.69171,8336599
40.71427,-74.00597,8175133
23.04889,113.74472,8000000
25.04776,121.53185,7871900
-4.32758,15.31357,7785965
-12.04318,-77.02824,7737002
30.06263,31.24967,7734614
4.60971,-74.08175,7674366
51.50853,-0.12574,7556900
51.51279,-0.09184,7556900
29.56278,106.55278,7457600
30.66667,104.06667,7415590
32.06167,118.77778,7165292
35.69439,51.42151,7153309
30.79508,106.08473,7150000
22.28552,114.15769,7012738
34.25833,108.92861,6501190
31.54972,74.34361,6310888
41.79222,123.43278,6255921
30.29365,120.16142,6241971
-22.90278,-43.2075,6023699
45.75,126.65,5878939
33.34058,44.40088,5672513
36.18528,117.12,5499000
31.30408,120.59538,5345961
23.36814,116.71479,5329024
13.75398,100.50144,5104476
12.97194,77.59369,5104047
59.93863,30.31413,5028000
-33.45694,-70.64827,4837295
22.56263,88.36304,4631392
-33.86785,151.20732,4627345
16.80528,96.15611,4477638
36.66833,116.99722,4335989
13.08784,80.27847,4328063
34.75778,113.64861,4253913
-37.814,144.96332,4246375
24.68773,46.72185,4205961
43.88,125.32278,4193073
38.91222,121.60222,4087733
22.3384,91.83168,3920222
25.03889,102.71833,3855346
31.21564,29.95527,3811516
34.05223,-118.24368,3792621
23.02579,72.58727,3719710
36.06605,120.36939,3718835
35.10278,129.04028,3678555
5.30966,-4.01266,3677115
12.00012,8.51672,3626068
23.02677,113.13148,3600000
17.38405,78.45636,3597816
29.45679,119.88872,3590000
35.44778,139.6425,3574443
7.37756,3.90591,3565108
1.28967,103.85007,3547809
31.56887,120.28857,3543719
24.47979,118.08187,3531347
39.91987,32.85427,3517182
34.57952,105.74238,3500000
29.87819,121.54945,3491597
10.82302,106.62965,3467331
32.6475,110.77806,3460000
-33.92584,18.42322,3433441
37.86944,112.56028,3426519
52.52437,13.41053,3426354
39.63333,118.18333,3372102
31.86389,117.28083,3310268
45.50884,-73.58781,3268513
40.4165,-3.70256,3255944
39.03385,125.75432,3222000
33.58831,-7.61138,3144909
36.79056,118.06333,3129228
21.31992,110.5723,3121275
-29.8579,31.0292,3120282
28.19874,112.97087,3093980
34.52813,69.17233,3043532
43.80096,87.60046,3029372
10.48801,-66.87919,3000000
18.51957,73.85535,2935744
21.19594,72.83023,2894504
21.54238,39.19797,2867446
38.04139,114.47861,2834942
26.4478,80.34627,2823249
50.45466,30.5238,2797553
-8.83682,13.23432,2776168
14.6488,121.0509,2761720
9.02497,38.74689,2757729
-1.28333,36.81667,2750547
-12.97111,-38.51083,2711840
26.91962,75.78781,2711758
-6.82349,39.26951,2698652
41.85003,-87.65005,2695598
36.05701,103.83987,2628426
37.45646,126.70515,2628000
22.92833,112.03954,2612800
43.70011,-79.4163,2600000
30.53302,47.79747,2600000
19.03681,73.01582,2600000
34.69374,135.50218,2592413
2.03711,45.34375,2587183
35.87028,128.59111,2566540
31.41667,73.08333,2506595
38.41273,27.13838,2500603
14.6937,-17.44406,2476400
26.83928,80.92313,2472011
30.00808,31.21093,2443203
-3.71722,-38.54306,2400000
3.43722,-76.5225,2392877
-7.24917,112.75083,2374658
-19.92083,-43.93778,2373224
28.68333,115.88333,2357839
14.71331,-17.45472,2352057
41.89193,12.51133,2318895
36.31559,59.56796,2307177
40.6501,-73.94958,2300664
40.68149,-73.83652,2272771
21.14631,79.08491,2228018
10.63167,-71.64056,2225000
-15.77972,-47.92972,2207718
18.50012,-69.98857,2201941
35.18147,136.90641,2191279
-27.46794,153.02809,2189878
23.13302,-82.38304,2163824
48.85341,2.3488,2138551
29.76328,-95.36327,2099451
36.33306,43.1049,2065597
-26.20227,28.04363,2026469
22.31667,114.18333,2019533
30.50316,47.81507,2015483
43.25654,76.92848,2000900
6.25184,-75.56359,1999979
41.26465,69.21627,1978028
36.7525,3.04197,1977663
15.55177,32.53241,1974647
5.55602,-0.1969,1963264
-2.20584,-79.90795,1952029
39.6086,109.78157,1940653
15.35472,44.20667,1937451
33.88894,35.49442,1916100
-31.95224,115.8614,1896548
43.06417,141.34695,1883027
43.85083,126.56028,1881977
44.43225,26.10626,1877155
9.535,-13.68778,1871242
49.24966,-123.11934,1837969
22.71792,75.8333,1837041
19.35738,-99.0671,1820888
19.61725,-99.06601,1806226
9.53795,-13.67729,1767200
10.24694,-67.59583,1754256
3.58333,98.66667,1750971
33.6007,73.0679,1743101
53.9,27.56667,1742124
47.49801,19.03991,1741041
36.335,43.11889,1739800
53.57532,10.01534,1739117
-25.42778,-49.27306,1718421
52.22977,21.01178,1702139
-6.90389,107.61861,1699719
-26.26781,27.85849,1695047
48.20849,16.37208,1691468
34.01325,-6.83255,1655753
20.66682,-103.39182,1640589
41.38879,2.15899,1621537
-25.74486,28.18783,1619438
36.20124,37.16117,1602264
25.60222,85.11936,1599920
23.25469,77.40289,1599914
-3.10194,-60.025,1598210
32.12278,114.06556,1590668
19.04334,-98.20193,1590256
